"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_Disc_D16.0mm_W5.0mm_P7.50mm";1;"20uF";;;
2;"C2";"C_Disc_D16.0mm_W5.0mm_P10.00mm";1;"20uF";;;
3;"C3";"C_Rect_L29.0mm_W7.9mm_P27.50mm_MKT";1;"50uF";;;
4;"Q1";"TO-92_Molded_Narrow_Oval";1;"BC548";;;
5;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"22k";;;
6;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"4.7k";;;
7;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"6.8k";;;
8;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal";1;"1.8k";;;
